order_id,pincode,category,customer_past_rto_count,pincode_historical_rto_rate,category_baseline_rto_rate,cart_value_category_std_dev,item_quantity_anomaly_score,is_night_order,phone_order_velocity_7d,device_account_reuse_count,account_age_days,address_char_length,address_tfidf_ambiguity_score,hub_distance_km,is_cod_selected,is_novel_pincode,is_flash_sale_cart_value,is_rto
ORD_101_00000,PIN_053,Books,1,0.22857142857142856,0.01764705882352941,4.0,0.25,0,2,1,308,21,0.3561,88.87,0,0,0,0
ORD_101_00001,PIN_027,Apparel,0,0.1875,0.19776119402985073,-1.294,0.6,0,1,1,513,15,0.3681,45.43,1,0,0,0
ORD_101_00002,PIN_017,Home,0,0.24242424242424243,0.03017241379310345,-0.4777,0.25,0,3,2,188,42,0.399,38.44,0,0,0,0
ORD_101_00003,PIN_067,Apparel,0,0.19444444444444445,0.19776119402985073,-0.8549,0.2,0,1,1,105,73,0.3692,121.06,1,0,0,0
ORD_101_00004,PIN_074,Electronics,1,0.23076923076923078,0.5535911602209945,-1.6071,3.3333,0,0,1,253,39,0.44,133.38,1,0,0,1
ORD_101_00005,PIN_056,Books,1,0.25,0.01764705882352941,2.0914,0.25,0,3,1,751,53,0.0206,115.74,0,0,0,0
ORD_101_00006,PIN_085,Beauty,0,0.25,0.02,4.0,0.1667,0,3,1,264,44,0.4861,154.37,0,0,0,0
ORD_101_00007,PIN_023,Apparel,0,0.1875,0.19776119402985073,4.0,0.2,0,3,1,65,54,0.1637,53.32,1,0,0,0
ORD_101_00008,PIN_082,Books,0,0.25,0.01764705882352941,1.5749,0.25,0,2,1,63,44,0.166,147.27,1,0,0,0
ORD_101_00009,PIN_044,Electronics,0,0.21428571428571427,0.5535911602209945,-1.2813,0.3333,0,1,1,131,44,0.4391,95.87,1,0,0,1
ORD_101_00010,PIN_001,Beauty,0,0.1282051282051282,0.02,0.0848,0.1667,0,2,1,250,29,0.4657,4.09,1,0,0,0
ORD_101_00011,PIN_072,Home,0,0.3548387096774194,0.03017241379310345,2.065,0.25,1,3,1,30,48,0.762,139.29,1,0,0,0
ORD_101_00012,PIN_003,Apparel,0,0.275,0.19776119402985073,-1.2172,0.2,0,2,1,472,38,0.0666,13.5,0,0,0,0
ORD_101_00013,PIN_021,Electronics,0,0.15151515151515152,0.5535911602209945,-1.4403,0.3333,0,3,2,542,45,0.3863,39.31,1,0,0,1
ORD_101_00014,PIN_024,Beauty,1,0.26666666666666666,0.02,-0.4056,0.1667,1,0,1,80,55,0.3248,41.28,0,0,0,0
ORD_101_00015,PIN_038,Apparel,0,0.14634146341463414,0.19776119402985073,4.0,0.2,0,1,1,169,39,0.5611,72.9,1,0,0,0
ORD_101_00016,PIN_059,Apparel,0,0.21739130434782608,0.19776119402985073,-1.4751,0.2,0,3,1,241,31,0.5363,110.08,1,0,0,1
ORD_101_00017,PIN_009,Apparel,1,0.23684210526315788,0.19776119402985073,-0.2094,0.4,0,5,1,1312,26,0.2664,27.52,0,0,0,0
ORD_101_00018,PIN_011,Home,1,0.10810810810810811,0.03017241379310345,1.5234,0.25,0,4,1,57,58,0.2535,37.95,1,0,0,0
ORD_101_00019,PIN_070,Apparel,0,0.2682926829268293,0.19776119402985073,0.5252,0.2,1,2,1,29,61,0.232,127.3,0,0,0,0
ORD_101_00020,PIN_035,Apparel,0,0.05714285714285714,0.19776119402985073,-1.4732,0.2,0,3,1,88,51,0.387,69.62,0,0,0,0
ORD_101_00021,PIN_009,Apparel,6,0.23684210526315788,0.19776119402985073,-0.8569,0.2,0,3,1,255,66,0.351,28.64,1,0,0,1
ORD_101_00022,PIN_080,Electronics,0,0.32,0.5535911602209945,-0.7526,0.3333,0,1,1,84,46,0.1198,152.18,1,0,0,0
ORD_101_00023,PIN_078,Electronics,0,0.2647058823529412,0.5535911602209945,-1.3845,0.3333,0,2,1,254,28,0.4353,152.58,1,0,0,1
ORD_101_00024,PIN_050,Beauty,0,0.375,0.02,-0.6339,0.1667,0,2,1,384,32,0.16,88.47,0,0,0,0
ORD_101_00025,PIN_050,Beauty,0,0.375,0.02,3.9735,0.1667,0,2,2,336,13,0.2388,82.09,0,0,0,0
ORD_101_00026,PIN_021,Home,0,0.15151515151515152,0.03017241379310345,2.2129,0.25,0,0,1,98,27,0.2533,38.37,1,0,0,0
ORD_101_00027,PIN_055,Apparel,0,0.19047619047619047,0.19776119402985073,1.2081,0.8,0,2,1,237,49,0.4787,105.27,1,0,0,0
ORD_101_00028,PIN_028,Books,0,0.0625,0.01764705882352941,-0.4041,0.5,0,1,1,350,53,0.1469,46.78,0,0,0,0
ORD_101_00029,PIN_041,Beauty,0,0.21875,0.02,4.0,0.1667,0,3,1,345,57,0.0964,84.52,1,0,0,0
ORD_101_00030,PIN_089,Electronics,0,0.3888888888888889,0.5535911602209945,-1.8967,0.6667,1,1,1,286,64,0.5068,165.87,1,0,0,1
ORD_101_00031,PIN_056,Apparel,0,0.25,0.19776119402985073,2.4535,0.2,0,4,1,20,50,0.2324,99.24,1,0,0,0
ORD_101_00032,PIN_031,Books,0,0.1875,0.01764705882352941,4.0,0.25,0,1,1,427,70,0.2763,64.9,1,0,0,0
ORD_101_00033,PIN_056,Home,0,0.25,0.03017241379310345,-1.784,0.25,1,2,1,140,33,0.1964,96.94,1,0,0,0
ORD_101_00034,PIN_010,Apparel,0,0.24444444444444444,0.19776119402985073,1.322,0.8,0,1,1,893,41,0.1365,20.45,1,0,0,0
ORD_101_00035,PIN_041,Apparel,0,0.21875,0.19776119402985073,-1.4098,0.2,1,2,1,598,49,0.2407,69.79,0,0,0,0
ORD_101_00036,PIN_065,Apparel,0,0.2619047619047619,0.19776119402985073,2.9206,0.2,0,2,1,132,50,0.1126,118.02,1,0,0,0
ORD_101_00037,PIN_067,Books,0,0.19444444444444445,0.01764705882352941,0.0211,0.25,0,4,1,72,39,0.6208,135.3,0,0,0,0
ORD_101_00038,PIN_064,Home,0,0.13157894736842105,0.03017241379310345,-1.7735,0.25,0,2,2,43,75,0.2813,129.78,1,0,0,0
ORD_101_00039,PIN_002,Apparel,0,0.15,0.19776119402985073,1.4432,0.2,1,0,1,71,54,0.0198,7.89,1,0,0,0
ORD_101_00040,PIN_087,Apparel,1,0.23333333333333334,0.19776119402985073,4.0,0.2,0,3,1,99,48,0.1578,142.92,1,0,0,1
ORD_101_00041,PIN_077,Electronics,0,0.358974358974359,0.5535911602209945,-1.8393,0.3333,1,2,2,367,27,0.5984,136.65,0,0,0,0
ORD_101_00042,PIN_054,Apparel,1,0.34782608695652173,0.19776119402985073,-0.8492,0.2,1,2,1,78,36,0.1396,106.13,0,0,0,0
ORD_101_00043,PIN_023,Electronics,1,0.1875,0.5535911602209945,-1.1588,1.0,0,2,1,91,63,0.1733,59.74,0,0,0,0
ORD_101_00044,PIN_083,Electronics,1,0.3404255319148936,0.5535911602209945,-1.7973,0.3333,1,2,1,151,47,0.1466,148.88,0,0,0,0
ORD_101_00045,PIN_030,Electronics,0,0.09090909090909091,0.5535911602209945,-0.0794,1.0,0,1,1,12,30,0.6205,69.35,1,0,0,1
ORD_101_00046,PIN_078,Electronics,0,0.2647058823529412,0.5535911602209945,-1.8655,0.3333,0,2,1,86,34,0.4723,150.94,0,0,0,0
ORD_101_00047,PIN_004,Home,0,0.21212121212121213,0.03017241379310345,0.7251,0.25,1,0,1,167,50,0.4717,11.22,1,0,0,0
ORD_101_00048,PIN_061,Electronics,0,0.45454545454545453,0.5535911602209945,-0.0437,0.3333,0,1,1,106,42,0.538,111.81,1,0,0,1
ORD_101_00049,PIN_002,Apparel,0,0.15,0.19776119402985073,-0.8101,0.2,0,6,1,542,54,0.4339,5.31,0,0,0,0
ORD_101_00050,PIN_038,Apparel,0,0.14634146341463414,0.19776119402985073,-0.9082,0.2,0,2,1,457,50,0.3579,73.52,1,0,0,0
ORD_101_00051,PIN_018,Books,0,0.18421052631578946,0.01764705882352941,4.0,0.25,0,6,1,83,63,0.1807,56.35,1,0,0,0
ORD_101_00052,PIN_019,Apparel,0,0.13513513513513514,0.19776119402985073,-0.2719,0.8,0,3,1,424,33,0.4229,61.5,0,0,0,0
ORD_101_00053,PIN_062,Home,0,0.4,0.03017241379310345,-0.6982,0.25,0,2,1,565,30,0.4386,104.36,0,0,0,0
ORD_101_00054,PIN_024,Electronics,1,0.26666666666666666,0.5535911602209945,-1.8693,2.3333,1,3,1,86,16,0.2435,44.98,1,0,0,1
ORD_101_00055,PIN_064,Apparel,0,0.13157894736842105,0.19776119402985073,-1.6181,0.2,0,5,1,137,57,0.4033,114.58,1,0,0,0
